name,tier,url,image_url,dimensions,handle_drop,ideal_for,colour,made_of,features,design_notes
DIOR RATTAN OBLIQUE MEDIUM LADY DIOR BAG,DELUXE,https://zerocollective.ca/bag/dior-rattan-oblique-medium-lady-dior-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1747846487193x570445070173083650/Dior%20Raffia%20Cannage%20Medium%20Lady%20Dior%20Bag%20BBADI254-2734-0%20%5B1%5D.jpg","MEDIUM (9.5"" x 8"" x 4"")","4"" - 17""","WALLET, PHONE, SUNGLASSES, AND KEYS","Natural rattan with orange accents, gold hardware",Rattan and leather,"Medium Lady Dior silhouette, rattan weave, cannage handles, logo charms, orange canvas band","Natural and radiant, the Rattan Oblique Lady Dior brings summery warmth to a structured house classic. Handwoven rattan is paired with rolled handles, cannage-inspired detailing, and a bold orange canvas band for graphic contrast. Dior’s limited-edition rattan pieces reflect the maison’s ongoing exploration of artisanal craft through seasonal reinterpretations. A striking choice for women who appreciate sophistication with a resort-ready twist. Wear it with linen tailoring or flowing dresses for a chic holiday palette."
CHANEL LAMBSKIN QUILTED DIAMOND LOCK FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-diamond-lock-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1745939894715x525780747358835650/Chanel%20Green%20Diamond%20Lock%20Flap%20Bag%20%5B1%5D.jpg","SMALL (7.5"" x 4.5"" x 3"")","18""","CARDHOLDER, PHONE, AND KEYS",Teal green with gold-tone hardware,Lambskin leather,"Flap bag, diamond quilting, unique diamond CC turn-lock, chain/leather strap","Fresh and elegant, the Diamond Lock Flap shines in teal green with its bold geometric CC turn-lock. Lambskin leather and a classic chain strap enhance the clean diamond-quilted structure. Chanel’s inventive lock variations celebrate the house’s commitment to craftsmanship and subtle reinvention. A standout pick for collectors who enjoy distinctive details with timeless charm. Wear it with complementary jewel tones or pared-back neutrals."
CHANEL CAVIAR QUILTED MINI SWEET FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-mini-sweet-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1745942274652x833145185783825300/Chanel%20Yellow%20Caviar%20Quilted%20Mini%20Sweet%20Classic%20Flap%20Bag%20%5B1%5D.jpg","X-SMALL (7"" x 5"" x 2"")","23""","CARDHOLDER, PHONE, AND KEYS","Soft and luminous, the pastel-yellow Mini Sweet Flap radiates joyful energy in a compact frame. Durable caviar leather meets classic quilting, a gold CC clasp, and a lightweight chain strap for effortless polish. Chanel’s Sweet line highlights the house’s playful approach to colour within timeless silhouettes. A delightful option for women who enjoy small-scale luxury with cheerful personality. Style it with spring knits or crisp whites to let the colour glow.",Caviar leather,"Mini rectangular flap bag, chain/leather strap, CC closure",
FENDI NAPPA FENDI FIRST SMALL BAG,CLASSIC,https://zerocollective.ca/bag/fendi-nappa-fendi-first-small-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1747060347466x908671611534387000/Fendi%20First%20Small%20Bag%20Blue%20%5B1%5D.jpg","SMALL (9"" x 7"" x 2.5"")","15""","CARDHOLDER, PHONE, AND KEYS",Sky blue with gold hardware,Nappa leather,"Geometric clutch, F-shaped frame, soft gathered body","Soft and sculptural, the Fendi First Small feels cloud-like in sky-blue nappa leather with a bold, angular frame. The F-shaped clasp creates a jewelry-like silhouette, balanced by a gathered, slouchy body for modern contrast. Introduced in 2021, the Fendi First quickly became a contemporary icon for its architectural form. Perfect for collectors who appreciate innovative shapes with luxe texture. Wear it with tonal blues or neutral tailoring for statement refinement."
CHANEL LAMBSKIN WHIPSTITCH EMBOSSED MEDIUM FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-whipstitch-embossed-medium-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757608786139x851275558133513000/Chanel%20Lambskin%20Whipstitch%20Embossed%20Medium%20Flap%20Bag%20BSBCH258-2578-0%201.jpg","MEDIUM (10"" x 6"" x 3"")","19""","WALLET, PHONE, AND KEYS",Cognac brown with gold-tone hardware,Lambskin leather,Front flap with CC turn-lock closure; whipstitch edges; embossed CHANEL lettering; leather-woven chain strap; back slip pocket,"With its warm cognac tone and sculpted silhouette, this flap carries a grounded yet elevated presence. The lambskin construction is detailed with whipstitched edges, embossed CHANEL lettering, and gold-tone finishes—giving depth and texture to every line. Its silhouette nods to Chanel’s rich archive of flap designs, each rooted in the house’s heritage of precision craftsmanship and iconic hardware codes. This piece suits women who love classic shapes with artisanal detailing and a touch of understated edge. Pair it with tailored neutrals to let the whipstitch accents stand out."
CHANEL CAVIAR QUILTED SMALL FILIGREE VANITY CASE,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-small-filigree-vanity-case,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1747058838397x401383271432577800/Chanel%20Caviar%20Quilted%20Small%20Filigree%20Vanity%20Case%20Black%20and%20White%20%5B1%5D.jpg","SMALL (6.5"" x 5"" x 2"")","21""","CARDHOLDER, PHONE AND KEYS",Ivory with black trim and gold-tone hardware,Caviar leather and smooth leather,"Box bag shape, top handle, signature Filigree CC logo, dual zip closure, quilt detailing, chain strap","Structured and elegant, the Filigree Vanity Case brings ivory caviar leather to a boxy, vintage-inspired silhouette. Black contrast trim, dual zippers, and the raised Filigree CC create strong visual definition. Vanity-case shapes nod to Chanel’s heritage of refined travel accessories and classic hard-sided designs. A sophisticated option for collectors who appreciate distinctive silhouettes with archival roots. Wear it with monochrome looks to highlight its graphic contrast."
PRADA MIDOLLINO AND CANAPA TOTE BAG,CLASSIC,https://zerocollective.ca/bag/prada-midollino-and-canapa-tote-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1744753631139x229916387399465630/Prada%20Midollino%20Wicker%20Shopping%20Basket%20%5B1%5D.jpg","SMALL (8"" x 7"" x 5"")","4.5"" - 19""","WALLET, PHONE, SUNGLASSES, AND KEYS",Natural straw/beige with white leather trim,Woven midollino straw & leather,"Mid-size tote, woven body, triangle logo, zip & double handles","Airy and relaxed, the Midollino and Canapa Tote blends natural textures with understated Italian elegance. Woven straw contrasts beautifully with crisp white leather trim and the iconic Prada triangle logo. Midollino techniques draw from Prada’s heritage of artisanal weaving and warm-weather craftsmanship. A refined choice for women who love effortless summer style with elevated details. Wear it with linen sets or breezy dresses for a chic vacation mood."
DIOR CALFSKIN 30 MONTAIGNE BAG,DELUXE,https://zerocollective.ca/bag/dior-calfskin-30-montaigne-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1747059252787x182399789577994980/Dior%20Calfskin%2030%20Montaigne%20Bag%20White%20%5B1%5D.jpg","SMALL (8.5"" x 5.5"" x 2.5"")","18.5"" - 20.5""","WALLET, PHONE, AND KEYS",Cream white with gold hardware,Calfskin leather,"Structured flap bag, CD logo clasp, wide shoulder strap, slip pocket, minimalist lines",
GUCCI PATENT 1961 JACKIE MINI BAG,DELUXE,https://zerocollective.ca/bag/gucci-patent-1961-jackie-mini-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1770695873566x747273111670225500/Gucci%20Patent%201961%20Jackie%20Mini%20Bag%20BSBGU2512-845-0%201.jpg","X-SMALL (7.5"" x 5"" x 1.5"")","3"" - 23""","CARDHOLDER, PHONE, AND KEYS",,,,
CHANEL CAVIAR QUILTED LARGE CLASSIC DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-large-classic-double-flap-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1752508874947x976850534078228400/Chanel%20Caviar%20Quilted%20Large%20Classic%20Double%20Flap%20Bag%20BBACH256-2897-0%201.jpg","LARGE (12"" x 7.5"" x 3.5"")","14"" - 26""","WALLET, PHONE, SUNGLASSES, AND KEYS",Light blue with silver-tone hardware,Caviar grained calfskin,"Classic double-flap construction, leather-woven chain strap, back slip pocket, dual interior compartments","Soft and timeless, this Large Classic Double Flap in pale blue caviar leather merges durability with iconic design. Diamond quilting, a dual-flap interior, and a silver CC turn-lock capture Chanel’s most recognisable house elements. The Classic Flap became a modern icon after Karl Lagerfeld reintroduced it in 1983, revitalising Coco’s original 2.55 spirit. A favourite among collectors who appreciate longevity, structure, and heritage storytelling. Style it with cool-toned palettes or crisp tailoring for elevated ease."
